"c1","c2","phrase","freq"
"can't","choose","can't choose",1
"don't","it","don't it",5
"not","you-","not you-",1
"not","make","not make",11
"isn't","much","isn't much",1
"not","/r/","not /r/",1
"not","any","not any",9
"not","counting","not counting",1
"not","part","not part",18
"don't","follow","don't follow",2
"wasn't","first","wasn't first",1
"not","koreans","not koreans",2
"isn't","broken","isn't broken",1
"not","enjoying","not enjoying",5
"aren't","just","aren't just",2
"wouldn't","transfer","wouldn't transfer",1
"not","timid","not timid",1
"don't","very","don't very",1
"not","hurting","not hurting",1
"isn't","weighted","isn't weighted",1
"don't","taste","don't taste",2
"not","seem","not seem",3
"not","seen","not seen",2
"haven't","answered","haven't answered",1
"won't","release","won't release",1
"not","conserved","not conserved",1
"not","show","not show",5
"wasn't","mandated","wasn't mandated",1
"isn't","so","isn't so",9
"doesn't","well","doesn't well",1
"can't","support","can't support",1
"doesn't","move","doesn't move",5
"isn't","until","isn't until",3
"can't","bring","can't bring",1
"didn't","her","didn't her",1
"don't","l-","don't l-",2
"can't","make","can't make",31
"doesn't","how","doesn't how",1
"isn't","lytic","isn't lytic",1
"won't","put","won't put",2
"weren't","teaching","weren't teaching",1
"doesn't","believe","doesn't believe",2
"couldn't","target","couldn't target",1
"not","settle","not settle",1
"don't","dry","don't dry",2
"couldn't","yo","couldn't yo",1
"shouldn't","multiply","shouldn't multiply",1
"can't","suppose","can't suppose",1
"don't","agree","don't agree",13
"can't","seem","can't seem",1
"weren't","silly","weren't silly",1
"not","pass","not pass",2
"can't","show","can't show",2
"not","legitimate","not legitimate",1
"can't","object","can't object",1
"don't","sell","don't sell",1
"not","meant","not meant",7
"shouldn't","end","shouldn't end",1
"not","there's","not there's",9
"won't","become","won't become",1
"not","urban","not urban",1
"aren't","you","aren't you",19
"wasn't","invented","wasn't invented",3
"not","her","not her",1
"isn't","th-","isn't th-",1
"doesn't","a-","doesn't a-",2
"isn't","to","isn't to",2
"doesn't","deal","doesn't deal",2
"not","pairs","not pairs",1
"not","tenured","not tenured",1
"didn't","anticipate","didn't anticipate",3
"haven't","given","haven't given",2
"not","paralleled","not paralleled",1
"hadn't","planned","hadn't planned",1
"can't","pass","can't pass",1
"don't","learn","don't learn",3
"don't","capture","don't capture",1
"didn't","catch","didn't catch",2
"not","common","not common",2
"doesn't","explain","doesn't explain",3
"not","natural","not natural",2
"not","recorded","not recorded",1
"isn't","worth","isn't worth",1
"aren't","that","aren't that",5
"wasn't","consistent","wasn't consistent",2
"not","your","not your",9
"haven't","okay","haven't okay",1
"didn't","match","didn't match",3
"isn't","uh","isn't uh",3
"don't","ha-","don't ha-",4
"not","consider","not consider",1
"not","contained","not contained",1
"isn't","um","isn't um",3
"aren't","mediated","aren't mediated",1
"not","doses","not doses",1
"doesn't","know","doesn't know",26
"isn't","up","isn't up",1
"didn't","support","didn't support",1
"wouldn't","at","wouldn't at",1
"couldn't","believe","couldn't believe",2
"not","as-","not as-",2
"doesn't","block","doesn't block",2
"won't","","",NA
"","won't ","",NA
"","9","",NA
"didn't","identify","didn't identify",2
"weren't","insulated","weren't insulated",1
"not","exciting","not exciting",2
"don't","mate","don't mate",1
"isn't","question","isn't question",1
"isn't","timeless","isn't timeless",1
"wouldn't","the","wouldn't the",2
"not","kidding","not kidding",10
"don't","send","don't send",1
"aren't","spatially","aren't spatially",1
"not","capture","not capture",1
"don't","must","don't must",1
"doesn't","wanna","doesn't wanna",6
"not","racially","not racially",1
"not","actual","not actual",2
"not","cobb-doug-","not cobb-doug-",1
"didn't","stutter","didn't stutter",1
"didn't","terminate","didn't terminate",1
"wouldn't","be","wouldn't be",89
"needn't","be","needn't be",1
"can't","bind","can't bind",3
"didn't","there","didn't there",1
"aren't","participating","aren't participating",1
"didn't","off-","didn't off-",1
"isn't","the","isn't the",23
"weren't","natural","weren't natural",1
"shouldn't","let","shouldn't let",1
"don't","tolerate","don't tolerate",1
"not","repression","not repression",1
"can't","probably","can't probably",1
"not","are","not are",1
"don't","like","don't like",96
"shouldn't","you","shouldn't you",2
"won't","marry","won't marry",1
"don't","me","don't me",1
"wasn't","paying","wasn't paying",2
"not","acquire","not acquire",1
"not","single-minded","not single-minded",1
"hasn't","yet","hasn't yet",1
"doesn't","represent","doesn't represent",1
"not","scary","not scary",1
"not","drink","not drink",1
"haven't","named","haven't named",2
"not","many","not many",6
"not","at-","not at-",1
"wasn't","which","wasn't which",1
"not","solely","not solely",1
"doesn't","as","doesn't as",1
"doesn't","at","doesn't at",1
"haven't","figured","haven't figured",3
"not","examine","not examine",1
"wasn't","simply","wasn't simply",1
"didn't","ask","didn't ask",3
"not","confuse","not confuse",2
"not","kingbirds","not kingbirds",1
"aren't","captured","aren't captured",1
"not","endangered","not endangered",1
"won't","realize","won't realize",2
"aren't","based","aren't based",1
"haven't","taken","haven't taken",2
"not","changing","not changing",8
"don't","my","don't my",1
"don't","","",NA
"","don't ","",NA
"","133","",NA
"isn't","necessarily","isn't necessarily",6
"don't","jump","don't jump",1
"not","simple","not simple",2
"can't","succeed","can't succeed",1
"don't","justify","don't justify",1
"haven't","exceeded","haven't exceeded",1
"not","exceed","not exceed",1
"didn't","use","didn't use",14
"not","feelings","not feelings",1
"can't","discredit","can't discredit",1
"not","resolved","not resolved",1
"not","agreed","not agreed",1
"doesn't","d-","doesn't d-",2
"not","paying","not paying",2
"not","heard","not heard",2
"not","richard","not richard",1
"not","self-contradictory","not self-contradictory",1
"not","configured","not configured",2
"don't","practice","don't practice",1
"couldn't","possibly","couldn't possibly",1
"not","ask","not ask",1
"weren't","trying","weren't trying",1
"don't","p-","don't p-",2
"can't","really","can't really",62
"don't","no","don't no",2
"doesn't","wor-","doesn't wor-",1
"not","communism","not communism",1
"don't","all","don't all",5
"not","tomorrow","not tomorrow",1
"not","simply","not simply",13
"don't","form","don't form",1
"don't","what","don't what",3
"don't","mean","don't mean",24
"didn't","sell","didn't sell",1
"not","protein","not protein",1
"didn't","acknowledge","didn't acknowledge",1
"not","benefitting","not benefitting",1
"don't","walk","don't walk",1
"don't","wan-","don't wan-",1
"not","use","not use",8
"don't","wrap","don't wrap",1
"don't","kn-","don't kn-",5
"not","correspond","not correspond",1
"didn't","function","didn't function",2
"don't","account","don't account",1
"not","motile","not motile",1
"not","fully","not fully",5
"not","him","not him",1
"wasn't","clear","wasn't clear",5
"aren't","thought","aren't thought",1
"can't","swallow","can't swallow",1
"can't","compare","can't compare",1
"not","september","not september",1
"not","peers","not peers",1
"isn't","significant","isn't significant",1
"wasn't","trans-saharan","wasn't trans-saharan",1
"weren't","folks","weren't folks",1
"wouldn't","do","wouldn't do",13
"not","his","not his",4
"doesn't","e-","doesn't e-",1
"not","relatively","not relatively",1
"not","apparent","not apparent",1
"not","harvesting","not harvesting",1
"doesn't","antagonize","doesn't antagonize",2
"not","expect","not expect",4
"can't","replicate","can't replicate",1
"don't","leave","don't leave",3
"don't","of","don't of",2
"doesn't","undercut","doesn't undercut",1
"can't","say","can't say",44
"not","admit","not admit",1
"don't","relate","don't relate",1
"not","timorese","not timorese",1
"don't","oh","don't oh",2
"don't","major","don't major",1
"can't","regulate","can't regulate",1
"not","immoral","not immoral",1
"haven't","argued","haven't argued",1
"not","asked","not asked",2
"not","regarded","not regarded",1
"won't","i","won't i",3
"isn't","cass","isn't cass",1
"not","pro-","not pro-",1
"can't","integrate","can't integrate",1
"won't","shine","won't shine",1
"not","she's","not she's",4
"wasn't","until","wasn't until",4
"doesn't","apply","doesn't apply",6
"wasn't","solved","wasn't solved",1
"doesn't","massively","doesn't massively",1
"don't","or","don't or",2
"not","comparing","not comparing",1
"haven't","found","haven't found",4
"not","direct","not direct",1
"not","early","not early",1
"doesn't","does","doesn't does",1
"won't","even","won't even",10
"doesn't","scan","doesn't scan",2
"weren't","dysfunctional","weren't dysfunctional",1
"mustn't","forget","mustn't forget",1
"won't","ever","won't ever",2
"not","expecting","not expecting",2
"don't","flip","don't flip",1
"not","technically","not technically",1
"not","worked","not worked",1
"didn't","succeed","didn't succeed",1
"can't","actually","can't actually",6
"not","stated","not stated",1
"aren't","they","aren't they",18
"wasn't","hired","wasn't hired",1
"not","very","not very",106
"doesn't","completely","doesn't completely",1
"not","windy","not windy",1
"haven't","not","haven't not",1
"can't","access","can't access",1
"weren't","were","weren't were",1
"don't","and","don't and",6
"doesn't","do","doesn't do",30
"don't","re-","don't re-",1
"don't","r-","don't r-",1
"didn't","send","didn't send",2
"won't","shiver","won't shiver",1
"not","ob-","not ob-",1
"hasn't","burned","hasn't burned",1
"wasn't","frozen","wasn't frozen",1
"doesn't","work","doesn't work",43
"doesn't","","",NA
"","doesn't ","",NA
"","35","",NA
"don't","write","don't write",8
"don't","discuss","don't discuss",1
"wouldn't","declare","wouldn't declare",1
"don't","a","don't a",1
"haven't","bottled","haven't bottled",1
"didn't","remember","didn't remember",1
"doesn't","sound","doesn't sound",8
"aren't","socially","aren't socially",1
"not","happening","not happening",1
"didn't","eat","didn't eat",1
"can't","sleep","can't sleep",1
"aren't","","",NA
"","aren't ","",NA
"","3","",NA
"don't","come","don't come",10
"not","observed","not observed",1
"aren't","out","aren't out",4
"not","open","not open",2
"hadn't","i","hadn't i",1
"don't","i","don't i",120
"doesn't","actually","doesn't actually",11
"not","mark","not mark",1
"not","university","not university",1
"didn't","like","didn't like",23
"haven't","worked","haven't worked",1
"wasn't","necessarily","wasn't necessarily",4
"can't","provide","can't provide",1
"weren't","african-american","weren't african-american",1
"not","sell","not sell",1
"not","royalty","not royalty",1
"won't","hide","won't hide",1
"wasn't","worth","wasn't worth",1
"don't","want","don't want",200
"not","liking","not liking",3
"isn't","part","isn't part",2
"not","reality","not reality",2
"doesn't","law","doesn't law",1
"not","choose","not choose",1
"not","wanting","not wanting",6
"doesn't","lay","doesn't lay",1
"haven't","traveled","haven't traveled",1
"not","accelerating","not accelerating",2
"can't","force","can't force",1
"weren't","protected","weren't protected",1
"not","denying","not denying",2
"doesn't","really","doesn't really",57
"don't","s-","don't s-",4
"not","imaginary","not imaginary",1
"couldn't","think","couldn't think",2
"not","perhaps","not perhaps",2
"not","frozen","not frozen",1
"isn't","informative","isn't informative",1
"not","locke","not locke",1
"couldn't","breed","couldn't breed",2
"don't","sort","don't sort",1
"not","precise","not precise",1
"don't","police","don't police",1
"doesn't","tell","doesn't tell",16
"not","t-v","not t-v",1
"can't","reach","can't reach",1
"aren't","correct","aren't correct",1
"aren't","linked","aren't linked",1
"not","introduce","not introduce",1
"haven't","solved","haven't solved",2
"don't","linger","don't linger",1
"haven't","completely","haven't completely",1
"wouldn't","count","wouldn't count",2
"don't","view","don't view",1
"can't","sell","can't sell",2
"not","looking","not looking",19
"not","vote","not vote",1
"doesn't","moralize","doesn't moralize",1
"isn't","because","isn't because",1
"not","competing","not competing",2
"weren't","told","weren't told",1
"don't","plan","don't plan",1
"not","responding","not responding",2
"haven't","time","haven't time",1
"won't","kill","won't kill",1
"can't","combine","can't combine",1
"didn't","refer","didn't refer",1
"not","highly","not highly",4
"not","seeing","not seeing",2
"not","staying","not staying",2
"not","mention","not mention",1
"wouldn't","i-","wouldn't i-",1
"hasn't","gone","hasn't gone",5
"wouldn't've","wanted","wouldn't've wanted",1
"don't","change","don't change",6
"can't","log","can't log",1
"not","some","not some",4
"not","wait","not wait",1
"wouldn't","go","wouldn't go",4
"didn't","ho-","didn't ho-",1
"don't","play","don't play",2
"didn't","form","didn't form",5
"didn't","what","didn't what",3
"don't","t-","don't t-",1
"don't","perceive","don't perceive",4
"didn't","mean","didn't mean",15
"don't","when","don't when",4
"not","improve","not improve",1
"aren't","as","aren't as",7
"not","walking","not walking",2
"aren't","at","aren't at",2
"not","different","not different",3
"wasn't","calm","wasn't calm",1
"not","moral","not moral",1
"can't","see","can't see",44
"wasn't","mystery","wasn't mystery",1
"not","mate","not mate",2
"hasn't","told","hasn't told",1
"ain't","that","ain't that",1
"not","could","not could",1
"won't","commit","won't commit",1
"not","today","not today",6
"not","send","not send",1
"not","must","not must",1
"not","wearing","not wearing",2
"don't","meet","don't meet",4
"can't","wait","can't wait",2
"not","ho-","not ho-",1
"not","population","not population",1
"won't","answer","won't answer",1
"not","reaching","not reaching",2
"can't","produce","can't produce",4
"can't","marry","can't marry",1
"don't","haven't","don't haven't",2
"not","winning","not winning",1
"doesn't","a","doesn't a",3
"not","testing","not testing",1
"not","initially","not initially",1
"don't","highlight","don't highlight",1
"not","like","not like",135
"not","sent","not sent",1
"not","retiring","not retiring",1
"doesn't","tend","doesn't tend",2
"not","speak","not speak",6
"can't","model","can't model",1
"doesn't","go","doesn't go",13
"doesn't","one","doesn't one",1
"can't","mate","can't mate",10
"aren't","a","aren't a",2
"didn't","agree","didn't agree",3
"not","would","not would",1
"not","health","not health",1
"doesn't","depend","doesn't depend",10
"not","admitted","not admitted",1
"doesn't","i","doesn't i",10
"don't","so","don't so",3
"didn't","pla-","didn't pla-",1
"wouldn't","last","wouldn't last",1
"aren't","i","aren't i",2
"isn't","joe","isn't joe",1
"shouldn't","say","shouldn't say",9
"not","ye-","not ye-",1
"wouldn't","even","wouldn't even",4
"wouldn't","i'm","wouldn't i'm",1
"not","further","not further",1
"don't","cor-","don't cor-",1
"aren't","working","aren't working",1
"wouldn't","ever","wouldn't ever",3
"not","prions","not prions",1
"not","passive","not passive",1
"doesn't","overestimate","doesn't overestimate",1
"can't","like","can't like",10
"doesn't","he","doesn't he",15
"wasn't","much","wasn't much",6
"won't","fail","won't fail",1
"wouldn't","get","wouldn't get",12
"don't","just","don't just",22
"weren't","wearing","weren't wearing",1
"not","thinking","not thinking",2
"not","passed","not passed",1
"not","religion","not religion",1
"don't","us-","don't us-",1
"isn't","expressed","isn't expressed",1
"didn't","learn","didn't learn",3
"not","achieved","not achieved",1
"wasn't","made","wasn't made",1
"wasn't","sure","wasn't sure",25
"didn't","gain","didn't gain",1
"not","itself","not itself",2
"don't","copy","don't copy",2
"wouldn't","it","wouldn't it",20
"not","changed","not changed",2
"not","bright","not bright",1
"haven't","actually","haven't actually",3
"didn't","come","didn't come",9
"can't","necessarily","can't necessarily",3
"wasn't","intelligent","wasn't intelligent",1
"not","doing","not doing",41
"aren't","using","aren't using",1
"don't","to","don't to",1
"won't","cuz","won't cuz",1
"won't","bother","won't bother",4
"didn't","how","didn't how",1
"not","special","not special",4
"not","proud","not proud",3
"not","manufactured","not manufactured",1
"couldn't","get","couldn't get",18
"can't","jump","can't jump",2
"not","what","not what",68
"couldn't","focus","couldn't focus",1
"not","mean","not mean",6
"wasn't","tropical","wasn't tropical",1
"aren't","exactly","aren't exactly",2
"didn't","want","didn't want",41
"haven't","separated","haven't separated",1
"not","accept","not accept",2
"not","reliable","not reliable",1
"don't","take","don't take",19
"wasn't","really","wasn't really",9
"not","proliferating","not proliferating",1
"doesn't","if","doesn't if",1
"can't","deviate","can't deviate",1
"wouldn't","matter","wouldn't matter",4
"doesn't","ultimately","doesn't ultimately",1
"isn't","ther-","isn't ther-",1
"doesn't","let","doesn't let",2
"don't","thing","don't thing",1
"hasn't","melted","hasn't melted",1
"doesn't","nec-","doesn't nec-",1
"not","careful","not careful",2
"not","hot","not hot",1
"wouldn't","become","wouldn't become",1
"doesn't","you","doesn't you",11
"not","count","not count",2
"don't","think","don't think",541
"don't","uh","don't uh",12
"doesn't","in","doesn't in",2
"not","how","not how",9
"don't","breed","don't breed",2
"didn't","yet","didn't yet",1
"not","successful","not successful",1
"don't","exist","don't exist",7
"not","grading","not grading",2
"not","saturated","not saturated",2
"isn't","flat","isn't flat",1
"doesn't","is","doesn't is",1
"don't","um","don't um",7
"haven't","included","haven't included",3
"don't","ask","don't ask",9
"doesn't","it","doesn't it",55
"haven't","prepared","haven't prepared",1
"not","planning","not planning",3
"don't","actually","don't actually",24
"not","entirely","not entirely",11
"can't","walk","can't walk",1
"don't","pool","don't pool",1
"can't","she","can't she",1
"not","choice","not choice",1
"weren't","changed","weren't changed",1
"couldn't","have","couldn't have",11
"won't","spray","won't spray",1
"weren't","huge","weren't huge",1
"not","cold","not cold",1
"wouldn't","rewrite","wouldn't rewrite",1
"wasn't","all","wasn't all",2
"doesn't","haven't","doesn't haven't",1
"not","hampered","not hampered",2
"aren't","propositions","aren't propositions",1
"didn't","unless","didn't unless",1
"don't","that","don't that",3
"don't","use","don't use",25
"not","con-","not con-",1
"not","really","not really",188
"didn't","play","didn't play",1
"not","yes","not yes",1
"hadn't","had","hadn't had",2
"not","yet","not yet",22
"not","schedulable","not schedulable",1
"don't","talk","don't talk",12
"haven't","had","haven't had",23
"didn't","when","didn't when",1
"don't","stick","don't stick",8
"not","accurate","not accurate",1
"not","realize","not realize",1
"didn't","meet","didn't meet",2
"not","furthering","not furthering",1
"don't","incre-","don't incre-",1
"not","informative","not informative",1
"doesn't","mind","doesn't mind",1
"not","breaking","not breaking",5
"not","immediately","not immediately",1
"didn't","respond","didn't respond",1
"not","come","not come",9
"ain't","they","ain't they",1
"isn't","there","isn't there",28
"shouldn't","look","shouldn't look",1
"not","trace","not trace",1
"haven't","really","haven't really",17
"wouldn't","n-","wouldn't n-",1
"can't","develop","can't develop",1
"not","speed","not speed",1
"haven't","checked","haven't checked",6
"can't","sit","can't sit",1
"didn't","lis-","didn't lis-",1
"can't","measure","can't measure",4
"not","smart","not smart",3
"not","want","not want",17
"don't","we","don't we",90
"don't","blame","don't blame",1
"wouldn't","try","wouldn't try",3
"not","broken","not broken",1
"isn't","working","isn't working",5
"haven't","worried","haven't worried",1
"don't","climb","don't climb",1
"isn't","very","isn't very",5
"not","facing","not facing",1
"can't","come","can't come",3
"not","computer","not computer",1
"not","explained","not explained",1
"wasn't","and","wasn't and",1
"not","benefit","not benefit",1
"not","learning","not learning",1
"not","sort","not sort",3
"ain't","gonna","ain't gonna",1
"isn't","they'll","isn't they'll",1
"didn't","just","didn't just",3
"not","normal","not normal",1
"not","arguing","not arguing",4
"not","trade","not trade",1
"not","often","not often",1
"not","depend","not depend",2
"not","a-","not a-",6
"not","physiology","not physiology",1
"weren't","do-","weren't do-",1
"don't","live","don't live",5
"isn't","exactly","isn't exactly",1
"isn't","those","isn't those",1
"wasn't","any","wasn't any",5
"can't","but","can't but",1
"not","chosen","not chosen",1
"not","intro","not intro",1
"not","rounded","not rounded",1
"doesn't","anything","doesn't anything",1
"not","centered","not centered",2
"can't","sort","can't sort",1
"not","play","not play",1
"not","literal","not literal",1
"can't","buy","can't buy",5
"haven't","read","haven't read",13
"not","little","not little",1
"not","perceive","not perceive",1
"hadn't","existed","hadn't existed",1
"not","creating","not creating",1
"hadn't","and","hadn't and",1
"not","when","not when",3
"don't","focus","don't focus",1
"weren't","done","weren't done",1
"don't","eat","don't eat",6
"aren't","enough","aren't enough",1
"don't","we'll","don't we'll",1
"doesn't","deny","doesn't deny",2
"doesn't","guarantee","doesn't guarantee",2
"haven't","and","haven't and",3
"didn't","take","didn't take",17
"can't","decide","can't decide",1
"can't","improvise","can't improvise",1
"can't","publish","can't publish",2
"not","personal","not personal",1
"don't","control","don't control",1
"wouldn't","yeah","wouldn't yeah",3
"don't","correlate","don't correlate",1
"not","species","not species",1
"don't","share","don't share",7
"not","taking","not taking",7
"doesn't","serve","doesn't serve",1
"wasn't","lost","wasn't lost",1
"couldn't","enter","couldn't enter",1
"doesn't","need","doesn't need",21
"not","meet","not meet",1
"weren't","participating","weren't participating",1
"don't","require","don't require",2
"not","necessar-","not necessar-",1
"not","cool","not cool",3
"can't","play","can't play",6
"not","internally","not internally",2
"don't","ya","don't ya",1
"wasn't","from","wasn't from",1
"aren't","haunting","aren't haunting",1
"won't","get","won't get",21
"not","partner","not partner",1
"can't","paint","can't paint",1
"didn't","write","didn't write",12
"don't-","you","don't- you",1
"wouldn't","threaten","wouldn't threaten",1
"not","invade","not invade",1
"not","constituted","not constituted",1
"didn't","satisfy","didn't satisfy",1
"haven't","any","haven't any",1
"don't","express","don't express",2
"shouldn't","antagonize","shouldn't antagonize",1
"not","about","not about",17
"hasn't","done","hasn't done",1
"can't","articulate","can't articulate",2
"didn't","list","didn't list",1
"not","typical","not typical",1
"haven't","slept","haven't slept",1
"don't","finish","don't finish",3
"ain't","working","ain't working",1
"not","crazy","not crazy",1
"not","considered","not considered",7
"can't","pay","can't pay",2
"can't","cannot","can't cannot",3
"aren't","organized","aren't organized",1
"aren't","always","aren't always",2
"not","conventional","not conventional",1
"weren't","driven","weren't driven",1
"isn't","gonna","isn't gonna",10
"can't","meet","can't meet",1
"didn't","continue","didn't continue",1
"didn't","that","didn't that",3
"wasn't","thought","wasn't thought",1
"wouldn't","because","wouldn't because",1
"not","balancing","not balancing",1
"don't","then","don't then",3
"not","stuck","not stuck",4
"didn't","talk","didn't talk",6
"not","three","not three",2
"don't","happen","don't happen",4
"didn't","constrain","didn't constrain",1
"not","concentrations","not concentrations",1
"not","specify","not specify",1
"doesn't","equal","doesn't equal",2
"not","c-","not c-",2
"didn't","systematically","didn't systematically",1
"don't","hmm","don't hmm",1
"don't","they","don't they",43
"not","maternal","not maternal",1
"not","just","not just",204
"isn't","available","isn't available",1
"can't","can't","can't can't",4
"not","an","not an",61
"don't","volunteer","don't volunteer",1
"not","frustrating","not frustrating",1
"not","begin","not begin",1
"aren't","in","aren't in",6
"not","organic","not organic",1
"doesn't","no","doesn't no",2
"not","as","not as",110
"not","at","not at",52
"didn't","because","didn't because",2
"not","whi-","not whi-",1
"don't","drag","don't drag",2
"isn't","like","isn't like",6
"hadn't","written","hadn't written",1
"didn't","run","didn't run",1
"can't","handle","can't handle",4
"isn't","aware","isn't aware",1
"can't","just","can't just",28
"not","recommend","not recommend",1
"not","be","not be",183
"not","things","not things",2
"not","familiar","not familiar",8
"not","warm","not warm",1
"doesn't","under-","doesn't under-",1
"won't","defend","won't defend",1
"not","take","not take",14
"weren't","their","weren't their",1
"can't","judge","can't judge",2
"not","primary","not primary",1
"didn't","thought","didn't thought",1
